Ballot,Votes
33,"c59, c13, c23, c60, c28, c25, c46, c45, c57, c47, c35, c63"
34,"c53, c20, c38, c3, c1, c11, c22, c52, c42, c30, c36, c66"
35,"c60, c43, c5, c26, c37, c54, c61, c34, c65, c9, c41, c47"
36,"c52, c26, c34, c8, c3, c24, c17, c19, c57, c45, c59, c2"
37,"c5, c51"
38,"c40, c18, c27, c61, c55, c51, c60, c56, c13, c31, c1, c36"
39,"c45, c5, c51"
40,"c3, c26, c50, c49, c8, c64, c36, c4, c33, c47, c15, c14"
41,"c45, c5"
42,"c16, c43, c5, c65, c46, c2, c4, c31, c60, c19, c45, c54"
43,"c24, c5, c60, c4, c53, c26, c11, c15, c3, c56, c42, c29"
44,"c5, c45, c51"
45,"c30, c31, c39, c34, c47, c58, c5, c9, c24, c26, c4, c40"
46,c51
47,c45
48,"c7, c55, c23, c22, c1, c47, c17, c27, c65, c40, c60, c59"
49,c51
50,"c5, c45"
51,c45
52,"c38, c33, c23, c45, c7, c28, c31, c47, c27, c63, c29, c25"
53,"c44, c38, c46, c48, c45, c54, c30, c66, c63, c47, c39, c4"
54,"c15, c41, c44, c52, c27, c36, c31, c18, c64, c53, c42, c12"
55,"c5, c45"
56,"c4, c22, c16, c60, c66, c64, c42, c1, c33, c53, c18, c41"
57,"c28, c32, c3, c63, c12, c38, c33, c49, c65, c56, c5, c41"
58,"c5, c51, c45"
59,"c39, c52, c31, c48, c7, c58, c38, c59, c9, c17, c56, c49"
60,"c52, c21, c1, c36, c20, c48, c50, c22, c17, c6, c58, c18"
61,"c63, c53, c61, c62, c31, c1, c20, c17, c19, c39, c51, c25"
62,"c19, c24, c2, c5, c53, c25, c39, c18, c58, c7, c62, c23"
63,"c12, c26, c30, c7, c42, c18, c37, c23, c28, c40, c57, c29"
64,c5
65,"c55, c1, c62, c41, c10, c50, c27, c33, c24, c40, c7, c29"
66,"c45, c5"
67,"c44, c25, c63, c20, c15, c29, c22, c66, c30, c33, c38, c19"
68,"c47, c39, c61, c8, c36, c56, c65, c60, c33, c6, c51, c16"
69,c5
70,"c62, c26, c45, c65, c36, c9, c27, c59, c4, c16, c20, c7"
71,"c50, c23, c55, c29, c42, c8, c38, c3, c10, c27, c66, c65"
72,"c45, c5"
73,"c65, c64, c56, c30, c31, c11, c62, c32, c10, c38, c20, c17"
74,"c61, c20, c16, c64, c30, c59, c10, c13, c45, c46, c37, c60"
75,"c5, c45"
76,"c40, c16, c39, c2, c35, c12, c33, c19, c55, c29, c42, c27"
77,"c51, c45, c5"
78,"c17, c44, c53, c57, c16, c13, c27, c58, c60, c65, c21, c32"
79,"c45, c10, c22, c19, c56, c23, c50, c14, c6, c31, c57, c55"
80,"c5, c45, c51"
81,"c45, c5"
82,"c64, c19, c62, c30, c5, c24, c12, c7, c18, c57, c66, c15"
83,"c46, c64, c10, c4, c16, c37, c8, c12, c48, c63, c41, c53"
84,c51
85,"c41, c15, c42, c57, c17, c1, c61, c29, c12, c36, c50, c48"
86,"c7, c54, c16, c11, c10, c41, c17, c66, c14, c34, c58, c44"
87,c45
88,"c51, c45, c5"
89,"c53, c33, c31, c16, c37, c55, c58, c29, c30, c6, c42, c51"
90,"c14, c46, c6, c20, c4, c8, c56, c50, c2, c32, c49, c23"
91,"c51, c53, c21, c49, c23, c41, c13, c9, c1, c37, c28, c11"
92,"c49, c15, c55, c25, c40, c31, c27, c42, c51, c47, c28, c2"
93,"c42, c51, c3, c5, c33, c47, c50, c60, c22, c32, c44, c58"
94,c5
95,"c52, c19, c17, c5, c30, c21, c35, c60, c40, c62, c12, c13"
96,"c31, c14, c11, c56, c42, c8, c52, c15, c3, c57, c17, c29"
97,"c43, c53, c59, c51, c32, c65, c15, c16, c55, c61, c11, c42"
98,"c57, c20, c66, c16, c56, c64, c18, c10, c37, c24, c41, c47"
99,"c39, c27, c13, c56, c7, c64, c25, c14, c41, c52, c22, c48"
100,"c52, c47, c2, c25, c44, c55, c57, c15, c58, c20, c18, c45"
